year,film,person,is_winner,raw_text,source_url
1955,,Usha Kiran,True,1955 (2nd) |  | Usha Kiran ‡ | Usha | Baadbaan | [ 1 ],https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Supporting_Actress
1955,No Other Nominee,,True,No Other Nominee,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Supporting_Actress
1956,,Nirupa Roy,True,1956 (3rd) |  | Nirupa Roy ‡ | Malti | Munimji | [ 2 ],https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Supporting_Actress
1956,Basanti,Kavi,False,Geeta Bali | Basanti | Kavi,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Supporting_Actress
1956,Raj Rani,Uran Khatola,False,Suryakumari | Raj Rani | Uran Khatola,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Supporting_Actress
1957,,Vyjayanthimala,True,1957 (4th) |  | Vyjayanthimala ‡ | Chandramukhi | Devdas | [ 3 ],https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Supporting_Actress
1957,No Other Nominee,,True,No Other Nominee,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Supporting_Actress
1958,,Shyama,True,1958 (5th) |  | Shyama ‡ | Chanchal | Sharada | [ 4 ],https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Supporting_Actress
1958,Lata,Bhabhi,False,Nanda | Lata | Bhabhi,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Supporting_Actress
1959,,Nalini Jaywant,True,1959 (6th) |  | Nalini Jaywant ‡ | Kishori | Kala Pani | [ 5 ],https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Supporting_Actress
1959,Rukmini Singh,Parvarish,False,Lalita Pawar | Rukmini Singh | Parvarish,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Supporting_Actress
1959,Mohan's mother,Sadhna,False,Leela Chitnis | Mohan's mother | Sadhna,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Supporting_Actress
1960,,Lalita Pawar,True,1960 (7th) |  | Lalita Pawar ‡ | Mrs. L. D'Sa | Anari | [ 6 ],https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Supporting_Actress
1960,Ramkali,Goonj Uthi Shehnai,False,Anita Guha | Ramkali (Rami) | Goonj Uthi Shehnai,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Supporting_Actress
1960,Rama Chowdhury,Sujata,False,Shashikala | Rama Chowdhury | Sujata,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Supporting_Actress
1961,,Nanda,True,1961 (8th) |  | Nanda ‡ | Nanda | Aanchal | [ 7 ],https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Supporting_Actress
1961,Maharani Jodha Bai,Mughal-e-Azam,False,Durga Khote | Maharani Jodha Bai | Mughal-e-Azam,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Supporting_Actress
1961,Rajlaxmi Mariam-uz-Zamani,Kohinoor,False,Kumkum | Rajlaxmi Mariam-uz-Zamani | Kohinoor,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Supporting_Actress
1961,Mother,Aanchal,False,Lalita Pawar | Mother | Aanchal,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Supporting_Actress
1962,,Nirupa Roy,True,1962 (9th) |  | Nirupa Roy ‡ | Manorama / Aayah | Chhaya | [ 8 ],https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Supporting_Actress
1962,Ragini,Gharana,False,Shubha Khote | Ragini | Gharana,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Supporting_Actress
1962,Sasural,,False,Sita | Sasural,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Supporting_Actress
1963,,Shashikala,True,1963 (10th) |  | Shashikala ‡ | Jaswanti | Aarti | [ 9 ],https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Supporting_Actress
1963,Sita Devi Verma,Professor,False,Lalita Pawar | Sita Devi Verma | Professor,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Supporting_Actress
1963,Jaba,Sahib Bibi Aur Ghulam,False,Waheeda Rehman | Jaba | Sahib Bibi Aur Ghulam,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Supporting_Actress
1964,Shashikala,Leela / Ms. Roberts,True,1964 (11th) | Shashikala ‡ | Leela / Ms. Roberts | Gumrah | [ 10 ],https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Supporting_Actress
1964,Naseem,Mere Mehboob,False,Ameeta | Naseem | Mere Mehboob,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Supporting_Actress
1964,Najma,,False,Nimmi | Najma,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Supporting_Actress
1965,,Nirupa Roy,True,1965 (12th) |  | Nirupa Roy ‡ | Shobha | Shehnai | [ 11 ],https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Supporting_Actress
1965,Dai Maa,Kohraa,False,Lalita Pawar | Dai Maa | Kohraa,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Supporting_Actress
1965,Roopa,Ayee Milan Ki Bela,False,Shashikala | Roopa | Ayee Milan Ki Bela,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Supporting_Actress
1966,,Padmini,True,1966 (13th) |  | Padmini ‡ | Bhanu | Kaajal | [ 12 ],https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Supporting_Actress
1966,Ms. Kitty,Gumnaam,False,Helen | Ms. Kitty | Gumnaam,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Supporting_Actress
1966,Dr. Neeta Verma,Himalaya Ki God Mein,False,Shashikala | Dr. Neeta Verma | Himalaya Ki God Mein,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Supporting_Actress
1967,,Simi Garewal,True,1967 (14th) |  | Simi Garewal ‡ | Dr. Anjali | Do Badan | [ 13 ],https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Supporting_Actress
1967,Anita Bakshi,Anupama,False,Shashikala | Anita Bakshi (Annie) | Anupama,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Supporting_Actress
1967,Phool Aur Patthar,,False,Rita | Phool Aur Patthar,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Supporting_Actress
1968,,Jamuna,True,1968 (15th) |  | Jamuna ‡ | Gauri | Milan | [ 14 ],https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Supporting_Actress
1968,Shanta,Ram Aur Shyam,False,Mumtaz | Shanta | Ram Aur Shyam,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Supporting_Actress
1968,Anjali Nath,Jewel Thief,False,Tanuja | Anjali (Anju) Nath | Jewel Thief,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Supporting_Actress
1969,,Simi Garewal,True,1969 (16th) |  | Simi Garewal ‡ | Rajni | Saathi | [ 15 ],https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Supporting_Actress
1969,Veera,Shikar,False,Helen | Veera | Shikar,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Supporting_Actress
1969,Chanchal,Neel Kamal,False,Shashikala | Chanchal | Neel Kamal,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Supporting_Actress
1970,,Tanuja,True,1970 (17th) |  | Tanuja ‡ | Dhanno | Paisa Ya Pyaar | [ 16 ],https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Supporting_Actress
1970,Renu,Ittefaq,False,Bindu | Renu | Ittefaq,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Supporting_Actress
1970,Renu,Aradhana,False,Farida Jalal | Renu | Aradhana,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Supporting_Actress
1971,,Chand Usmani,True,1971 (18th) |  | Chand Usmani ‡ | Champa | Pehchan | [ 17 ],https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Supporting_Actress
1971,Neela Allopee Prasad,Do Raaste,False,Bindu | Neela Allopee Prasad | Do Raaste,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Supporting_Actress
1971,Rita,Aadmi Aur Insaan,False,Mumtaz | Rita | Aadmi Aur Insaan,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Supporting_Actress
1972,,Farida Jalal,True,1972 (19th) |  | Farida Jalal ‡ | Bela Singh | Paras | [ 18 ],https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Supporting_Actress
1972,Nisha,Caravan,False,Aruna Irani | Nisha | Caravan,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Supporting_Actress
1972,Lily,Elaan,False,Helen | Lily | Elaan,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Supporting_Actress
1973,,Zeenat Aman,True,1973 (20th) |  | Zeenat Aman ‡ | Jasbir Jaiswal / Janice | Hare Rama Hare Krishna | [ 19 ],https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Supporting_Actress
1973,Mala,Dastaan,False,Bindu | Mala | Dastaan,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Supporting_Actress
1973,Meena,Be-Imaan,False,Nazima | Meena | Be-Imaan,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Supporting_Actress
1974,,Raakhee Gulzar,True,1974 (21st) |  | Raakhee Gulzar ‡ | Chandni | Daag: A Poem of Love | [ 20 ],https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Supporting_Actress
1974,Neema,Bobby,False,Aruna Irani | Neema | Bobby,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Supporting_Actress
1974,Chitra,Abhimaan,False,Bindu | Chitra | Abhimaan,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Supporting_Actress
1974,Anu Rai,Anuraag,False,Nutan | Anu Rai | Anuraag,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Supporting_Actress
1974,Saudagar,,False,Mahjubhi | Saudagar,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Supporting_Actress
1975,,Durga Khote,True,1975 (22nd) |  | Durga Khote ‡ | Parvati | Bidaai | [ 21 ],https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Supporting_Actress
1975,Kamini Singh,Hawas,False,Bindu | Kamini Singh | Hawas,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Supporting_Actress
1975,Imtihan,,False,Rita | Imtihan,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Supporting_Actress
